msoa11cd,covid19,p80up,pblack50up,pasian50up,incomescore19,higheredu,pcarehm,pm251418,so21418,nox,countDays,allpop,la,utla,p5064,p6579,morbidity,pindian,ppakbang,pblack,pchinese,so21418,nox,pcareservice,psale_cust,pprocess_plant,pelementary,pbus,ptrain,ptube,personkm2
"E02000001",3,4.57156,1.349693,5.112474,.0650999,.8087205,0,13.849,2.644,94.882,42,8706,"E09000001","E09000001",21.80106,13.39306,80.15231,2.928813,3.362712,2.616949,3.566102,2.644,94.882,2.695925,2.277952,1.149425,3.636364,4.249247,4.344379,14.6821,3004.309
"E02000002",2,5.336788,7.589744,6.205128,.2154857,.9079064,.3099631,11.683,1.235,29.265,39,7720,"E09000002","E09000002",15.41451,8.173575,129.8443,3.98524,4.797048,16.72325,.6494465,1.235,29.265,12.19807,10.58776,8.776168,13.32528,8.509174,4.793578,9.174312,3571.487
"E02000003",3,3.46575,9.228601,11.41247,.1409752,.8740509,0,12.245,1.408,33.129,39,11051,"E09000002","E09000002",17.56402,8.506018,124.087,8.083624,10.46292,16.10752,.7565953,1.408,33.129,9.649703,8.988764,7.666887,11.28002,6.966009,12.77102,8.378795,5160.363
"E02000004",9,5.678712,3.93925,2.278121,.1382939,.8906339,1.552896,11.461,1.592,29.413,39,6586,"E09000002","E09000002",19.70847,10.38567,127.2781,.7602717,1.633775,10.49822,.6146878,1.592,29.413,9.517145,8.502449,8.957313,9.86704,6.557008,9.125732,6.759802,2641.852
"E02000005",5,2.766644,8.109361,4.819277,.1615312,.8958625,0,12.58,1.765,35.245,39,10229,"E09000002","E09000002",15.72001,6.403363,123.4767,3.515534,5.874795,16.8769,.4788601,1.765,35.245,12.10014,9.541029,10.09736,13.63004,9.455587,7.584696,7.888083,8610.609
"E02000007",9,3.526623,7.570831,2.229447,.217733,.9003212,.7052668,12.092,1.578,33.143,39,10123,"E09000002","E09000002",16.47733,7.221179,135.5239,.8076442,2.684564,22.71642,.4891366,1.578,33.143,12.94401,9.692956,10.35521,15.74353,9.0376,4.949983,11.19351,5831.229
"E02000008",10,2.90463,6.50708,2.427512,.2025169,.895561,0,12.438,1.759,33.02,39,12635,"E09000002","E09000002",16.99248,7.677087,135.9463,1.633676,3.569885,17.37402,.492696,1.759,33.02,12.681,8.600264,10.55287,15.6867,8.449279,6.223122,9.929168,8897.894
"E02000009",7,1.811594,9.231563,6.034038,.2151954,.878628,.2263252,12.567,1.625,35.312,39,11592,"E09000002","E09000002",14.88958,5.529675,134.9043,3.132817,7.1352,18.83264,.7742704,1.625,35.312,10.94598,9.831381,9.202629,17.26208,9.416512,6.642004,10.55995,12065.78
"E02000010",6,2.913994,7.699853,2.108877,.2196203,.8866675,0,12.248,1.798,32.595,39,9197,"E09000002","E09000002",17.73404,6.371643,132.0638,1.079512,3.401045,19.04817,.650029,1.798,32.595,12.34352,9.22853,10.01456,16.65211,7.304527,5.555555,14.72908,8200.986
"E02000011",6,4.296148,6.44288,4.168922,.1472985,.877063,1.632455,12.139,1.956,33.431,39,6983,"E09000002","E09000002",17.27051,8.219963,143.6128,2.715371,4.735736,18.52271,.7758203,1.956,33.431,10.53578,8.486156,8.809781,13.59223,5.901189,6.770357,16.90302,4380.57
"E02000012",3,3.418955,4.790645,18.63448,.1223131,.8323669,.0910194,12.753,1.91,39.636,39,11290,"E09000002","E09000002",15.67759,7.325067,113.736,8.444579,27.11367,9.799757,.940534,1.91,39.636,8.977965,9.353024,9.610877,10.17346,4.996411,7.810481,15.49174,8682.568
"E02000013",4,2.135071,5.669599,3.128055,.2084141,.8941213,.0714116,12.549,1.914,34.853,39,8899,"E09000002","E09000002",15.99056,7.461513,126.0394,1.678172,3.380148,17.75768,.5355868,1.914,34.853,11.84806,10.31052,10.18993,16.21947,6.217709,5.469446,14.37734,6821.686
"E02000014",3,2.935303,6.639511,1.547861,.203037,.9021727,.5211657,12.355,1.966,33.335,39,10016,"E09000002","E09000002",17.44209,7.6877,132.5222,1.031695,3.265263,17.54946,.7977026,1.966,33.335,13.45799,9.40216,10.71899,17.0661,7.42875,6.167264,13.70503,8395.487
"E02000015",3,2.627339,9.526559,2.367206,.2357414,.8977991,.1851117,12.331,2.117,34.477,39,8069,"E09000002","E09000002",16.3589,6.840996,148.4991,1.322227,2.115563,25.2942,.6346688,2.117,34.477,13.27801,9.751038,10.40802,16.04426,7.782701,5.914082,12.42535,5925.947
"E02000016",1,.5631537,16.36829,25.44757,.210844,.8556399,0,13.829,1.746,55.647,39,9944,"E09000002","E09000002",10.06637,2.75543,129.6807,12.05055,16.88379,27.00625,1.459093,1.746,55.647,9.37596,10.60559,6.670765,17.46081,7.454874,10.12635,22.05776,11219.97
"E02000017",3,2.389883,9.031909,36.12764,.1447668,.861542,.2941869,13.122,1.764,45.575,39,9331,"E09000002","E09000002",14.4679,6.044368,132.9657,12.73241,30.79548,12.54413,.7531184,1.764,45.575,8.534965,10.98112,8.481787,15.63414,6.24702,8.758544,18.66158,10644.88
"E02000018",6,2.33936,7.160995,3.351955,.2087298,.8762759,.0449944,12.687,1.894,37.015,39,9789,"E09000002","E09000002",14.57759,6.05782,135.619,1.574803,5.725534,19.89876,.6299213,1.894,37.015,11.70988,8.826099,9.11739,15.49665,6.429526,6.245825,14.52906,7209.936
