msoa,meanUVAJAN01APR17
E02000001,420.90624
E02000002,426.9591771
E02000003,423.49824
E02000004,419.5834971
E02000005,420.0373029
E02000007,420.0373029
E02000008,414.0666514
E02000009,414.0666514
E02000010,420.0373029
E02000011,419.5834971
E02000012,408.096
E02000013,414.0666514
E02000014,420.0373029
E02000015,420.0373029
E02000016,410.2148571
E02000017,408.096
E02000018,408.096
E02000019,411.8640686
E02000020,411.8640686
E02000021,416.0731886
E02000022,410.2148571
E02000023,411.7824
E02000024,416.55168
E02000025,417.8061257
E02000026,419.0605714
E02000027,416.55168
E02000028,417.8061257
E02000029,419.0605714
E02000030,420.0776229
E02000031,417.9933257
E02000032,420.7322057
E02000033,420.7322057
E02000034,418.4738743
E02000035,417.9933257
E02000036,421.5731657
E02000037,422.9724343
E02000038,422.40384
E02000039,423.0687086
E02000040,418.4138057
E02000041,420.54048
E02000042,418.1805257
E02000043,415.2544457
E02000044,423.0687086
E02000045,422.40384
E02000046,413.9572114
E02000047,423.0687086
E02000048,413.9572114
E02000049,423.0687086
E02000050,418.1805257
E02000051,413.9572114
E02000052,418.1805257
E02000053,423.0687086
E02000054,418.51296
E02000055,418.51296
E02000056,415.9847314
E02000057,418.51296
E02000058,414.9516343
E02000059,417.4062171
E02000060,414.9516343
E02000061,414.9516343
E02000062,416.1789257
E02000063,415.9460571
E02000064,415.9460571
E02000065,409.6614857
E02000066,409.6614857
E02000067,412.1090743
E02000068,420.1645714
E02000069,415.2231771
E02000070,412.9903543
E02000071,415.8785829
E02000072,424.19232
E02000073,414.2406857
E02000074,420.0354514
E02000075,415.8785829
E02000077,418.8198857
E02000078,424.8477257
E02000079,418.8198857
E02000080,417.99168
E02000081,424.8477257
E02000082,417.99168
E02000083,424.8477257
E02000084,418.8198857
E02000085,417.99168
E02000086,417.99168
E02000087,419.6480914
E02000088,418.8198857
E02000089,413.7642514
E02000090,423.6080914
E02000091,422.2880914
E02000092,423.0195429
E02000093,420.54048
E02000094,423.0687086
E02000095,420.54048
E02000096,413.5400229
E02000097,417.6082286
E02000098,415.47312
E02000099,413.5400229
E02000100,416.2278857
E02000101,410.40576
E02000102,411.7437257
E02000103,413.8448914
E02000104,409.0677943
E02000105,409.0677943
E02000106,411.7437257
E02000107,413.8448914
E02000108,417.7012114
E02000109,410.40576
E02000110,413.8448914
E02000111,409.0677943
E02000112,410.40576
E02000113,411.7437257
E02000114,413.8448914
E02000115,415.9460571
E02000116,411.7437257
E02000117,411.7437257
E02000118,409.0677943
E02000119,410.40576
E02000120,415.9460571
E02000121,409.0677943
E02000122,413.8448914
E02000123,411.7437257
E02000124,413.8448914
E02000125,413.8448914
E02000126,415.9460571
E02000127,413.4423771
E02000128,419.7096
E02000130,424.8205714
E02000131,421.1212114
E02000132,425.4459429
E02000133,422.0853943
E02000134,424.39104
E02000135,429.4935771
E02000136,425.6549486
E02000137,426.6966857
E02000138,428.0951314
E02000139,429.4935771
E02000140,429.2245029
E02000141,429.4935771
E02000142,424.39104
E02000144,424.39104
E02000145,425.2138971
E02000146,424.39104
E02000147,426.6966857
E02000148,425.6549486
E02000149,429.2245029
E02000150,428.0951314
E02000151,425.6549486
E02000152,426.8526171
E02000153,424.39104
E02000154,430.7640686
E02000155,428.2578514
E02000156,427.7600229
E02000157,428.8083429
E02000158,429.2725029
E02000159,428.7919543
E02000160,432.6706286
E02000161,432.3036343
E02000162,431.61984
E02000163,432.3036343
E02000165,424.0481829
E02000166,411.6318171
E02000167,413.7889371
E02000168,411.6318171
E02000169,415.9460571
E02000170,415.9460571
E02000171,411.6318171
E02000172,411.6318171
E02000173,413.7889371
E02000174,411.6318171
E02000175,415.9460571
E02000176,411.6318171
E02000177,411.6318171
E02000178,415.9460571
E02000179,411.6318171
E02000180,411.6318171
E02000181,415.9460571
E02000182,413.7889371
E02000183,411.6318171
E02000184,411.6318171
E02000185,415.9460571
E02000186,413.9156571
E02000187,413.8728686
E02000188,411.6318171
E02000189,418.2150857
E02000190,416.0653714
E02000191,413.9156571
E02000192,418.2150857
E02000193,418.2578743
E02000194,423.95616
E02000195,418.4187429
E02000196,418.4187429
E02000197,414.6200229
E02000198,418.4187429
E02000199,418.4187429
E02000200,423.95616
E02000201,423.95616
E02000202,418.4187429
E02000203,418.4187429
E02000204,414.6200229
E02000206,418.4187429
E02000207,423.95616
E02000208,418.4187429
E02000209,414.6200229
E02000210,423.95616
E02000211,425.8363886
E02000212,421.65792
E02000213,423.7138286
E02000214,425.8363886
E02000215,424.7751086
E02000216,424.7751086
E02000217,425.2701257
E02000218,428.1144686
E02000219,428.1144686
E02000220,423.7138286
E02000221,429.0089143
E02000222,425.5940571
E02000223,427.4249143
E02000224,429.0089143
E02000225,427.4249143
E02000226,425.5940571
E02000227,422.1792
E02000228,425.5940571
E02000229,432.6706286
E02000230,428.6958171
E02000231,428.3256686
E02000232,424.5192
E02000233,427.8972343
E02000234,427.94064
E02000235,427.8972343
E02000236,427.5853714
E02000237,426.7855543
E02000238,426.3346286
E02000239,417.7012114
E02000240,423.0769371
E02000241,423.0769371
E02000242,409.0677943
E02000243,426.3346286
E02000244,417.7012114
E02000245,423.0769371
E02000246,419.8192457
E02000247,423.0769371
E02000248,406.7024914
E02000249,413.44128
E02000250,406.7024914
E02000251,413.44128
E02000252,409.3029257
E02000253,413.44128
E02000254,415.3095771
E02000255,410.0718857
E02000256,404.3371886
E02000257,406.7024914
E02000258,408.2000914
E02000259,413.44128
E02000260,407.5422171
E02000261,412.0629943
E02000262,408.2000914
E02000263,414.5365029
E02000264,408.2000914
E02000265,402.44256
E02000266,400.5479314
E02000267,400.5479314
