"codcom","marapr1519deaths","marapr20deaths","meanwintertemp","deathsdiffnegativetozero","Provincia","meanUVAJAN01APR30","z_percfore","z_perc65","z_perc85","z_densityinhabitants","z_deprivationn","z_superficietotalekm2","logpop","z_totale_casi","z_pm2point52016"
"84002",8.6,8,14342.3333333333,0,"Agrigento",787.6681627,0.508232464485542,0.885881659369811,-0.112356306119981,-0.394742253092325,1.61902533553455,0.492354143021338,8.04494704961772,-0.723141429867505,-0.0620444923285115
"84003",23.4,23,14365.3333333333,0,"Agrigento",813.1150373,-0.775149835973125,-0.682477253987246,0.0325355502919854,-0.278082568323642,0.207037043684479,0.736246061382507,9.1583099638818,-0.723141429867505,0.0508169135029292
"84004",12.2,12,14316.2204515272,0,"Agrigento",801.7007186,0.141551807211637,0.363095354917459,-0.0964069357389106,-0.404244152592191,0.559400369657837,1.00773730597877,8.26410576372896,-0.723141429867505,-0.0809240597463608
"84001",104.2,99,14389.3333333333,0,"Agrigento",821.0963227,-0.775149835973125,-0.682477253987246,1.12809382547037,-0.110382377150577,0.633337518393253,4.07596027573104,10.9737518056887,-0.723141429867505,0.151540635862155
"84006",1.8,2,14367.6666666667,0.2,"Agrigento",797.4921356,0.508232464485542,0.363095354917459,-0.145713022567925,-0.407305370612881,0.726287076803491,-0.0821424704538092,7.22620901010067,-0.723141429867505,-0.0165679453126809
"84007",13.2,9,14260.3333333333,0,"Agrigento",792.381722,0.874913121759446,1.40866796382216,-0.0969150181748727,-0.422944860698784,1.73690227551844,1.70300543922024,8.27052509505507,-0.723141429867505,-0.0924115101210056
"84009",14.4,9,14268.29986558,0,"Agrigento",834.5585593,-0.958490164610077,-0.159690949534894,-0.0388831677717266,-0.42126270624187,0.598270184993027,3.04127915176865,8.74432876399998,-0.723141429867505,-0.108873010687772
"84005",6.6,8,14285.3333333333,1.4,"Agrigento",795.1926508,0.324892135848589,0.363095354917459,-0.116730233177393,-0.370904154347049,0.716569622969694,0.10067859836588,7.93020620668468,-0.723141429867505,-0.114523512212127
"84012",20.8,15,14324.6666666667,0,"Agrigento",820.0322847,-0.225128850062268,-0.159690949534894,-0.000688622911795274,-0.343019792178384,1.57001556837279,1.2310765345904,9.03860260872187,-0.723141429867505,-0.0361075172623442
"84013",6.6,10,14313.6666666667,3.4,"Agrigento",829.2730576,-0.40846917869922,0.363095354917459,-0.110986692596953,-0.217464389696111,2.40106912015887,-0.372033265873466,8.01301211036892,-0.723141429867505,0.0784599670189241
"84014",9.4,14,14356.3333333333,4.6,"Agrigento",816.2204339,-0.40846917869922,-0.159690949534894,-0.0949489600531064,-0.373768363287199,0.711077149063634,0.490788223802325,8.28778002708843,-0.723141429867505,0.00979757516626528
"84010",21.2,16,14402.6666666667,0,"Agrigento",801.2357695,-0.40846917869922,-0.682477253987246,0.0408195030522365,-0.276173095696874,1.14582758362788,0.866021616658154,9.25320827220336,-0.723141429867505,0.0583723695148725
"84016",3.2,1,14327.3333333333,0,"Agrigento",814.0649492,-0.958490164610077,-0.159690949534894,-0.153731888839849,-0.405320125262829,0.0887376057078128,-0.297456363068004,6.8501261661455,-0.723141429867505,0.0690815939954062
"84017",53.6,40,14385.6666666667,0,"Agrigento",836.1850576,-1.14183049324703,-0.682477253987246,0.533924552423773,0.139622146054018,1.35834407399311,0.876787311288863,10.4034139954331,-0.723141429867505,0.0831390118209276
"84019",2.8,2,14402.3333333333,0,"Agrigento",811.0013614,0.141551807211637,-0.159690949534894,-0.148253434747736,-0.374874645047152,0.0984550595416104,-0.351284836221553,7.09837563859079,-0.723141429867505,0.0866928128737247
"84020",9.8,3,14428.6666666667,0,"Agrigento",892.2711051,-1.50851115052093,-1.2052635584396,-0.0294505068953873,-0.103850768403461,1.33848666833274,-0.232274975576616,8.71686338654481,-0.723141429867505,0.67478138842446
"84021",69.2,58,14414.6666666667,0,"Agrigento",814.5408116,-0.775149835973125,-0.682477253987246,0.632139096349311,-0.149117393293569,1.94308129599206,2.79112355653143,10.5486255139097,-0.723141429867505,0.227112129183592
"84022",6,5,14315.3333333333,0,"Agrigento",802.400461,-0.40846917869922,-0.159690949534894,-0.13541883060452,-0.314741411848641,-0.240388330662985,-0.361267571242756,7.55851674304564,-0.723141429867505,-0.0537708716951075
"84023",29.8,22,14383.3333333333,0,"Agrigento",818.7094129,-0.225128850062268,-0.159690949534894,0.0999337899493888,-0.301072012568133,1.050343037261,1.4972828018225,9.45022303929467,-0.723141429867505,-0.108715075212679
"84024",5.8,12,14383.3333333333,6.2,"Agrigento",824.3848678,-0.40846917869922,-0.159690949534894,-0.119182283194428,-0.330077811041406,0.215909501532729,-0.189407936956153,7.84109976542212,-0.723141429867505,0.0226798841262222
"84025",4.8,5,14311.3333333333,0.2,"Agrigento",821.9583458,0.141551807211637,-0.159690949534894,-0.109572897992536,-0.331835738221605,0.283509180376539,-0.0817509906490562,8.01135510916129,-0.723141429867505,-0.175397063184618
"84026",23.8,19,14370.3333333333,0,"Agrigento",820.2662237,0.324892135848589,0.363095354917459,-0.00906093783482244,-0.411488024938181,1.05668050715261,3.33547622504059,8.99998964246073,-0.723141429867505,0.0510421991972445
"84027",44.2,44,14391.3333333333,0,"Agrigento",832.8641492,-0.958490164610077,-0.682477253987246,0.32282734555188,-0.00572509175014461,1.84844174561073,0.782440678343371,10.0708223670218,-0.723141429867505,0.0838487232927169
"84028",28.8,33,14404.6666666667,4.2,"Agrigento",831.1086915,-0.958490164610077,-0.682477253987246,0.190505006794801,0.541050879470185,2.13996536062466,-0.232079235674239,9.73157166845605,-0.723141429867505,0.136928513033526
"84015",12.6,8,14363,0,"Agrigento",791.4672,0.324892135848589,0.885881659369811,-0.0997867884650931,-0.330714301916996,0.785859293784599,0.0194465388796154,8.16536363247398,-0.723141429867505,-0.0169041243679028
"84030",25,18,14374,0,"Agrigento",821.8829288,-0.591809507336173,-0.682477253987246,0.103600819704593,0.401735150439462,0.77276185600861,-0.289431027070566,9.46008690508493,-0.723141429867505,0.0291460631935414
"84031",23.6,19,14396.6666666667,0,"Agrigento",822.7542508,-0.591809507336173,-0.682477253987246,0.0759434627557014,-0.0993801777296801,1.795629496514,0.242981507393625,9.40327210788215,-0.723141429867505,0.0840898230914734
"84032",11,9,14393.6666666667,0,"Agrigento",834.0067525,-0.591809507336173,-0.159690949534894,-0.0732339585509014,-0.136842212121494,0.986123342359384,-0.327208828229238,8.40893960597598,-0.723141429867505,0.11220174094681
"84033",44.6,43,14382.3333333333,0,"Agrigento",805.5755878,-0.225128850062268,-0.682477253987246,0.23906001524022,-0.223874762085972,0.966688434691789,1.59397831359651,9.86796399646708,-0.723141429867505,0.0217371675826384
"84034",16.2,10,14298.8266528485,0,"Agrigento",835.6085695,-0.225128850062268,-0.159690949534894,-0.0468136718808737,-0.374526090520044,-0.0882890532644134,1.16041442983247,8.71833650245078,-0.723141429867505,-0.145199644931887
"84035",7.4,14,14352.3333333333,6.6,"Agrigento",804.6336814,0.691572793122493,0.363095354917459,-0.104933884446796,-0.346323482913585,0.186757140031337,0.109291154070448,8.16080392095467,-0.723141429867505,-0.0273544365648231
