"PRO_COM","meanwintertemp"
1130,14000
1272,14042.0679676985
1265,14008.3333333333
1063,14002
1028,14008
1316,14010
1317,13981.6666666667
1318,13568.2211838006
1286,13891.3333333333
1287,14011
1237,14009.3333333333
1238,13958.6666666667
1239,13970
1256,13755.3333333333
1058,13910
1074,13337
1003,13470.3333333333
1004,13946
1040,13932.6666666667
1041,13977
1308,13924.6666666667
1263,13410
1314,13984.6666666667
1232,13599
1294,13962
1292,14008.6666666667
1215,13973.6666666667
1228,13981.6666666667
1229,13935
1279,13860.6666666667
1298,14024.6666666667
1301,13994.6666666667
1302,14018.6666666667
1303,14037.6666666667
1221,14008
1222,14024.6666666667
1280,13991
1260,13941
1282,13344.7333333333
1216,14000.3333333333
1257,13953.3333333333
1259,13482.3333333333
1042,14002.6666666667
1060,13989
1076,13894.6666666667
1077,14026.6666666667
1079,14011.6666666667
1148,13984
1109,13968
1199,13894
1200,13958.3333333333
1129,13953.6666666667
1149,13529.6666666667
1150,13970.6666666667
1168,13950
1110,14007
1111,13968
1201,13365.1105331599
1131,13563.5
1175,13604.4472708002
1112,13964.3333333333
1202,13330.1924105668
1135,13985
1113,13811.6666666667
1114,13518.3333333333
1106,13965.3333333333
1193,13928.6666666667
1143,13985.6666666667
1144,14017
1169,13730.6666666667
1170,13998.3333333333
1107,13924
1115,13864
1194,14015.3333333333
1136,13892.3333333333
1137,14030.6666666667
1171,13990.3333333333
1172,13989.6666666667
1173,14000
1203,13937.3333333333
1140,13854
1141,13977.3333333333
1174,13913.3333333333
1176,13983.3333333333
1177,13957
1108,13795
1116,14052.3333333333
1219,14017
1220,13991.3333333333
1290,13981.3333333333
1304,13980.6666666667
1305,13683
1223,13966
1225,13981
1226,13681.6666666667
1307,13934.3333333333
1251,13996
1252,13952
1271,13720.3333333333
1262,13986.6666666667
1236,13969.6666666667
1255,13921.3333333333
1244,13978.6666666667
1295,13926.6666666667
1296,14020.3333333333
1246,13973.6666666667
1269,13947.6666666667
1275,13879
