com,meanUVAJAN01APR30
23072,676.8629695
23073,694.8416136
23074,724.8974644
23081,705.020339
1286,695.0455322
1287,694.371722
1237,687.7564475
1238,704.3382915
1239,701.7466576
2030,639.8937763
2031,653.4885966
2032,638.9763254
2003,643.1449424
2004,662.4288
1256,708.616922
64083,768.6905492
64084,782.7505627
62036,772.0616136
62037,791.4298576
62038,776.1563878
62039,756.5046102
65103,768.0806237
65104,774.885722
66046,832.0254102
63066,763.2461288
63067,753.6996
64111,758.0254576
64112,810.1025085
18113,638.0643661
19068,670.6162983
16156,687.8439458
16157,655.1364203
18123,637.3200814
18124,654.3189153
20021,676.519078
14035,837.2211254
19069,678.2612339
19070,672.4731661
1058,677.4016271
1074,793.5627661
1003,711.4933831
1004,676.4613315
1040,721.7577763
1041,686.8633424
1308,684.7426983
2021,653.0873492
1263,773.2400949
1314,692.1368542
2014,674.5097898
1232,707.6229559
2025,701.6116881
1294,680.8576271
2171,680.4658983
2054,656.3306441
2057,656.8926102
2108,647.5800081
1292,693.5803932
2006,647.2652339
2163,638.4117966
1215,695.3834441
1228,690.0381763
1229,705.6119593
2110,731.2511593
3019,661.1002902
2152,684.3224136
2133,655.4316203
2115,653.4245288
3021,661.5699254
3022,679.3375729
3023,640.0863458
2122,658.7275119
2048,673.9031593
2116,654.6103322
2147,656.6398536
1279,693.572339
1298,690.9162712
1301,693.7685695
1302,692.8463593
1303,704.6381288
2089,646.5465763
2090,663.1194508
1221,690.5285695
1222,724.3446508
1280,688.1703864
1260,679.2837559
1282,755.794861
23082,676.4230373
4186,724.3300068
4144,721.7947525
4085,679.1018034
1216,678.0009356
4154,723.7442441
4086,714.1124746
4116,702.2262508
1257,691.3090983
1259,724.3706441
4093,718.5269288
4094,689.9638576
4096,699.8454915
4082,722.7237356
4083,707.6606644
4108,728.2787797
24102,701.5694644
24103,684.3227797
25021,672.7194793
25046,721.4575729
26041,648.2295458
24100,684.7044407
25016,738.9404598
26021,652.053478
26058,636.8016814
26042,676.8037831
26044,645.2245831
24091,663.8397559
25014,716.2106034
25015,722.7475322
26008,644.3148203
26059,652.5012203
26060,659.5065763
28005,687.5955458
18052,633.7370441
51017,737.1030661
51030,723.5176271
50035,682.9495322
17118,707.3736407
18035,646.4074576
51010,709.955878
17143,676.1837288
6038,677.1233898
6059,689.6191729
35003,700.5963661
35004,680.3871864
108002,667.0779254
22231,718.4592
22232,784.261861
30031,641.4494156
30039,630.0368542
30109,634.9817898
46037,714.0229261
31019,651.6371471
32005,678.3447051
78157,753.4531351
30191,649.3589695
32002,683.2094644
24124,685.7297085
16215,682.9844949
31022,632.6888949
103034,680.9894237
99025,728.0305627
101002,786.0078915
103035,655.7320678
103036,679.7660583
103064,682.952461
98058,660.8816542
97009,678.0789153
97010,658.1952
80014,787.5733424
80009,750.8577356
80042,755.8506305
80036,769.1836881
80023,764.2768271
13253,690.0350644
70012,795.9153356
70013,775.087078
63008,769.1465654
63009,783.0948203
64107,765.1217898
63039,753.0148068
63040,772.0315932
62032,779.2924881
62033,768.4804068
62034,776.2593356
63048,756.5022915
64008,762.6308339
64108,775.7672949
64109,788.1400678
64110,757.5442169
63076,766.3533559
63077,765.1565695
63078,763.0049898
62035,759.7181288
61031,787.6194712
61032,770.3251932
61033,772.0418441
64009,794.9008678
63054,750.5428881
63055,761.997478
64054,815.1148068
64055,757.2752542
1042,680.5964136
1060,690.3428339
1076,733.8010576
1077,697.413478
1079,699.2121356
1148,672.530278
1109,681.0556881
1199,684.7457492
1200,689.7685424
1129,686.1569492
1149,678.1887458
1150,682.4487051
19009,673.0233437
19010,653.4973831
19011,657.8997559
24070,668.4414102
24035,674.2773153
22172,712.2610983
22177,712.0767661
22195,702.3390102
22202,691.3566915
22216,685.7648542
23001,693.9186712
23002,696.6007322
23003,674.6093695
23004,690.6713492
24036,687.5543593
24037,699.317939
1168,678.8477288
1110,695.7234305
1111,686.0676203
6171,665.2518102
1201,737.3806169
1131,687.6446644
1175,730.5304881
1112,695.1582915
1202,764.7295729
1135,685.5993763
1113,697.8667119
1114,737.2819525
1106,688.3722305
1193,680.5186169
1143,674.0093288
1144,692.6898508
1169,752.6725017
1170,679.2057763
1107,680.8173559
1115,683.9764475
1194,688.3052339
1136,689.4346576
1137,690.4904949
1171,666.4595797
1172,688.8836746
1173,692.6871051
1203,698.2818712
1140,693.0224542
1141,685.7862712
1174,679.6780475
1176,682.9949288
1177,677.9460203
1108,695.2798373
1116,695.8875661
2070,646.4059932
2131,662.0531797
2082,644.0424407
2102,679.0022237
2104,645.7556136
2107,676.1284719
3027,637.7938169
3030,636.0116339
2047,666.5210847
3006,697.165261
3008,653.7778169
3012,646.1872475
3016,649.1799458
3018,640.3276068
1219,679.0402983
1220,694.7912136
2088,651.7327729
2158,646.272
2137,665.9221424
2142,652.3024271
1290,686.7313627
4137,692.794739
4188,734.4146441
4189,723.3495864
4156,663.7797153
4158,696.5921288
4142,688.2518563
4112,719.4571932
4089,710.53632
8045,700.1125627
4106,715.4015186
4097,716.8600678
4098,700.1145763
4113,673.743539
4166,711.4888068
4175,730.9601085
4176,669.3378712
4107,693.7290305
4159,718.6989966
4099,658.8695593
4129,700.534678
4167,783.6835119
4168,687.5409966
4148,679.8559729
4149,691.1919458
4150,726.271261
4160,737.1618712
4161,699.1751593
4138,726.1404529
4023,721.6157288
4052,731.0615186
4054,732.6207458
4066,737.8257356
4028,707.0397559
4058,690.2876746
3093,677.631539
3095,672.5811661
4053,745.3325288
4065,705.6831295
3109,666.6536136
3112,661.6175186
3114,679.5294102
3115,675.1784136
4067,705.4228068
3097,658.0531525
3098,686.9048949
4004,708.4631593
4005,723.8121559
4064,711.1067064
3100,649.5595932
3073,661.3568542
3076,679.3375729
3158,633.1677559
4006,825.0270102
3103,679.3356203
2058,659.8814644
2071,654.4613288
2091,653.1212136
2164,644.8057627
2096,679.2387254
2065,641.8516881
3032,640.8236746
2170,709.3106847
2126,653.6981898
2127,650.4741153
2166,679.0527458
2118,651.4974915
3024,657.3956339
1304,674.272922
1305,693.4914305
2134,690.1456271
3036,650.2207729
3037,640.0228271
1223,676.4683607
2059,655.8477559
2062,651.6774915
2072,662.7762305
2078,678.9879458
2049,663.1282983
1225,682.5878237
1226,686.2984475
2113,673.2500339
3025,658.1205153
2093,643.0459119
2066,673.1504542
2067,660.1202847
3026,668.3666034
2148,657.0842644
2156,675.8547254
2128,667.540678
3001,660.9823322
3002,678.4761356
2150,655.869478
1307,680.1408
2045,645.9871729
2135,659.7774915
2121,674.1447864
1251,672.5650576
2061,660.967322
2079,672.5654237
2052,655.6188692
2097,691.7703864
1252,688.6665763
1271,665.6347525
2068,661.9587254
1262,698.3236068
2042,668.6389831
1236,681.2120136
1255,713.4209085
1244,686.9483878
1295,680.4183051
1296,678.0011186
1246,693.882061
2043,689.9986373
1269,677.2965559
1275,687.4760136
1276,687.7937898
1253,685.8637017
1254,702.3258305
2016,670.0986305
1310,684.1155661
1311,683.1984814
1312,680.5407661
4184,734.9015593
1089,672.3489356
1006,703.8986034
1007,681.6751322
1039,683.0784
1083,683.0876746
1062,688.0244339
1082,685.2918508
1008,686.4355525
1009,691.2717559
1020,661.0712949
1043,673.3111729
1027,678.2656271
1064,688.8569492
1066,712.6337898
1084,690.2803525
1021,685.706278
1023,688.7610305
1024,669.2727051
1026,735.9039458
1029,703.6860203
1085,691.0257356
1086,691.5770847
1087,816.843539
1022,803.3827119
1011,675.9873763
1012,686.0057492
1117,673.7446373
1204,660.3720407
1205,690.2904203
1139,679.2295729
1163,688.1304203
1164,677.1556068
1118,796.6971824
1206,686.0170251
1207,674.6668475
1132,681.822122
1133,681.7241898
1142,692.542861
1165,799.8499525
1166,697.5020746
1167,685.2105763
1183,691.3241085
1184,701.1257492
1208,688.4011525
1209,676.7490508
1210,646.0589288
1211,688.4472814
1134,757.0806102
1178,683.0784
1179,685.8860339
1185,674.7290847
1186,687.6200746
1212,677.7633356
1152,685.9268804
1153,688.7219797
1180,695.6479525
1181,674.708461
1213,692.7513559
1154,715.993139
1155,717.7350508
1097,687.5448407
1191,692.1565017
1187,665.924339
1188,710.2779254
1119,703.7474034
1120,666.2941017
1160,687.3412881
1161,683.0762034
1162,692.5018576
1098,704.3382915
1189,680.4475932
1190,714.6953085
1121,681.2116475
1122,704.0723186
1123,692.8613695
1099,683.1296542
1100,696.7676746
1192,692.902739
1195,686.2929559
1124,691.9102373
1156,681.9818034
1157,802.047539
1158,693.2150237
1159,687.9367525
1101,675.9203797
1102,686.1704949
1196,677.6264136
1197,689.4712678
1198,730.1788475
1125,677.1233898
1126,692.5068
1145,735.195539
1146,691.5792814
1103,724.0307186
1104,695.9578576
1105,681.822122
1127,675.8996339
1128,707.558522
1147,695.8084881
19110,648.8006644
19111,662.8256542
19112,650.9690847
19046,684.6782644
19047,651.5154549
19094,653.8951525
18177,635.8503661
19064,679.5096407
19034,670.1703864
19035,654.4283797
19115,687.2878373
21005,731.4799729
22037,670.1385356
41022,731.9301559
24111,683.463539
25044,737.2845153
25045,696.6274576
26064,650.5004746
26065,653.2418441
25013,694.8668746
6052,670.0371254
6173,649.2652475
6178,643.5921356
21042,745.2361708
4192,713.1081112
4193,698.0351186
7022,830.9638983
21022,737.6184
78104,771.6706169
76078,785.0816542
76079,802.7680271
76088,790.2601627
78121,762.5956881
76086,778.1659932
76042,789.0310547
79008,788.0709966
76087,780.0187607
76093,799.3940339
76047,766.9178847
76056,762.7919186
76059,782.2961695
76080,769.0042983
76073,753.2190915
78142,757.1107525
76094,784.0206915
76092,741.7293559
75029,763.7694102
77030,764.2365559
75055,743.8908203
75002,753.1517288
15097,642.4440407
15098,653.9238915
16037,663.8126644
16038,673.3183119
16089,670.4962169
16067,684.5264542
15074,639.5104678
15076,657.0599186
16001,701.5057627
15099,653.9733153
15101,647.8158508
15103,635.5159322
16090,634.6380203
16091,664.3845153
15077,652.3134102
15078,643.5335593
15178,669.823322
15179,657.1249627
16053,652.586522
16055,662.9517763
15035,639.7817492
15192,642.404941
15194,659.0354034
15195,639.0627254
15130,642.0127729
15131,654.6081356
15134,648.4922847
15136,670.5318508
15181,660.0247322
15182,648.7387932
16017,674.730061
15036,634.3400136
15038,651.1755661
15040,663.6585356
15041,653.9484203
72030,749.732862
72012,750.2276746
72014,743.713139
71060,743.7278136
52027,759.1122305
73015,795.1307064
72011,773.4675356
72019,748.6608814
53005,759.8898305
53002,729.6764513
109039,753.9571525
50041,703.443539
96002,641.0711593
96003,667.1654237
51040,728.6481763
94019,805.3710102
96049,681.0472678
71033,772.5458197
94015,816.3242237
109034,723.168
25071,689.2581966
109001,709.9436746
96028,660.9665898
71035,756.7413559
38027,683.2970847
13250,660.265139
13251,664.6407864
109035,727.0479458
51041,726.2146983
75035,742.3746712
96050,672.5335729
71013,758.9893424
41068,720.4555525
109027,728.4164339
109004,711.8680881
65095,795.1629966
66031,790.6442034
75022,749.0721356
75023,760.2643525
66019,765.6811932
66020,796.5324
66021,774.3834305
66033,826.6561627
66034,809.4003254
68039,767.4150508
68040,754.7310915
70029,762.5962373
70034,779.7848949
57067,803.041139
57068,790.0225627
58082,791.3943458
62012,771.7313898
62013,790.4984949
60018,775.6863864
62015,774.4032
62016,810.3434034
60021,759.2029505
63062,758.1883729
108001,663.6719349
17158,686.1942915
17159,669.7991593
17160,682.2773695
17119,701.4008136
17120,706.5242847
17139,695.6496
18060,639.9018305
17180,673.2104949
17181,737.6583051
17198,697.6721898
51035,733.2506847
17170,669.0460881
17171,699.5332068
18061,644.9584271
35015,681.1819932
35028,681.0681356
50033,682.1272678
18025,674.0896881
74018,745.2168407
26024,703.0236203
26025,649.1356475
26048,636.3103729
24089,712.9127593
24090,699.4954983
25011,685.6207932
25012,674.2699932
25053,698.7251471
26045,633.0447458
52015,750.8638678
52017,722.2810088
52022,717.8636746
49020,700.7186441
50031,673.5410115
50032,696.0846753
52036,747.4349288
49021,707.8276068
52018,717.6308339
50012,692.6731932
50029,684.9523525
50019,717.2223458
52005,723.7452692
53015,705.578522
54010,767.9432624
52034,719.3681085
41029,705.2824678
29044,667.2672
29045,667.5644746
28063,666.4590915
28030,676.9857356
28031,684.6753356
28072,666.4983864
27040,630.0903051
27041,648.104522
15071,643.5939661
16134,701.1389288
2041,668.0182576
1233,661.0712949
1234,734.9930847
1235,661.0712949
1242,676.4402441
1243,688.4842576
2008,681.8715458
1250,723.1128407
1283,709.6654373
1266,685.2105763
1267,662.9083932
1264,685.116122
1273,680.7465153
1274,685.601939
2009,652.1007051
1284,730.1927593
1285,693.4564678
1299,688.7632271
1309,676.4157153
1224,760.9331471
1315,679.8435254
2015,668.3764881
45010,652.2583485
22026,705.5746169
45011,655.0509356
21114,701.0232407
44073,767.1668339
46005,676.7981085
21104,751.5552325
46001,678.0693966
22021,692.8042576
22027,721.1471186
45002,694.3424339
46006,706.0523797
45012,656.096339
45013,635.5269153
44065,768.3054102
46002,707.2932203
21111,696.9063051
21115,686.4187119
44054,745.1421559
22029,706.229939
21106,696.9386441
21112,708.2830373
45014,687.8391051
21116,683.215322
44066,717.7149153
22022,684.0754169
45015,645.7989966
66087,806.7497492
12075,662.876762
12076,678.0154576
12077,662.1110237
10023,676.6394034
10028,636.2225085
10062,689.5715797
9018,647.9011525
9027,676.0158102
10024,686.9034305
12093,671.5344814
12095,670.1275525
10063,666.9494237
10064,663.3879864
10003,669.9895322
2029,714.0322983
1268,687.7047051
1245,702.9558183
1230,686.584678
4139,705.0254644
4185,719.3261288
4100,681.5546847
4143,691.7498847
4090,707.7704949
4080,681.5546847
4153,744.6237559
4157,666.874739
4084,729.3159981
4120,735.1541695
4121,701.4684203
4091,708.5016
4092,718.9351322
4101,686.1441356
4102,737.7220068
4103,699.0418983
4114,721.3773966
4115,692.1709017
4177,727.5992949
13145,697.4094508
13147,661.6962305
66008,782.6961356
17034,673.1361763
17035,636.760678
17064,664.2622373
17095,650.9185627
17096,697.9172339
6028,709.7295051
5092,693.2801898
6082,653.8173559
17077,700.6379971
17068,678.9959268
5112,691.2593085
5113,694.6974427
5114,692.8657627
5116,670.2478169
6012,673.2724393
6083,700.0098712
6071,666.4685492
17036,705.9429153
6016,672.3593085
6078,672.3157424
6066,706.4312949
6014,669.7436949
15169,651.0210712
16222,657.5757559
28036,664.9783322
28037,668.2930169
28048,665.4936569
28049,665.37504
28050,669.3151729
30074,644.3668068
31017,640.8039051
63007,759.7274644
64077,799.5141153
64078,756.6355525
64079,788.9258685
64080,816.3152542
61081,773.2038508
61082,774.0759051
63037,756.449939
63038,767.2525017
61035,770.0872271
61083,764.1662644
61084,765.6874902
63056,763.6185763
64068,778.2816814
69067,760.3635661
65001,803.412
64081,779.0314576
64082,771.548522
61085,761.5808542
63041,762.9833898
63042,758.869261
69068,755.2437559
69069,745.855322
65102,801.4437153
63063,757.8231864
63065,780.1890712
19113,676.5852203
19114,677.0238102
16203,669.5846237
16204,688.9493898
16205,690.6442576
19048,682.1089627
19049,639.1952542
19050,679.7952
18184,716.2135322
18190,644.7475525
18137,639.7102373
18138,646.1724203
11017,627.6586576
12030,665.5221763
12031,679.3265898
12032,654.5517559
12062,687.3552
12063,683.3773831
12064,666.9214169
9067,655.2643729
9034,670.3016339
9035,691.0165831
9068,672.8334102
11009,664.0974915
12098,666.0183051
12099,678.2421966
12100,682.4930034
12101,664.8344542
12102,682.034278
12103,686.9114847
11028,679.6912271
