fips,state,NewDeaths,meanUVAJAN01APR30_100,mean_pm25,mean_winter_temp,pct_blk,older_pecent,popdensity,hispanic,PCA1,RUCC_2013_CAT,population,Uvvitdyearmean_10,UVvitdyearmeanQ2,positive,statepop,statepositivetestsperpop
1001,AL,4,7.821536449,11.71258705,288.0850909,0.263015817,0.11938264,201.040355,0.01628478,0.131878624,1,53708,16.27518752,4,3876,4832159,0.080212592
1003,AL,3,8.37471329,10.07772305,290.2088608,0.097384809,0.169573546,217.4156265,0.031128382,-0.257378019,1,199123,17.6923751,5,3876,4832159,0.080212592
1005,AL,1,8.297125277,10.98196705,289.2421072,0.474787749,0.143295504,33.8891,0.039704987,2.691893252,1,25303,16.7059999,5,3876,4832159,0.080212592
1007,AL,0,7.681339434,11.99871473,287.3628325,0.133431042,0.129413541,39.08677925,0.058360833,0.557620253,1,22696,15.9244167,4,3876,4832159,0.080212592
1009,AL,0,7.194313531,11.79302254,285.5656757,0.009831209,0.146497703,282.1519113,0.178954015,1.047264426,1,44029,15.15095832,4,3876,4832159,0.080212592
1011,AL,0,8.098310152,11.31355676,288.6913288,0.801096044,0.139568192,14.49910325,0.000431435,3.837733604,1,10903,16.7059999,5,3876,4832159,0.080212592
1013,AL,1,8.195891951,10.80414611,289.3199501,0.387741862,0.168690089,18.36076575,0.005885141,1.380898713,1,19848,16.69150004,5,3876,4832159,0.080212592
1015,AL,3,7.497810136,12.30684977,286.0322867,0.161796097,0.146201343,333.254175,0.036268045,0.220932605,1,108488,15.06758329,4,3876,4832159,0.080212592
1017,AL,21,7.753458528,11.42308266,287.5812197,0.361951031,0.167642569,88.09215833,0.003915306,1.507118426,1,39200,15.85708348,4,3876,4832159,0.080212592
1019,AL,0,7.291109764,12.17633443,285.2225696,0.043847885,0.179540577,56.265644,0.02013682,1.209943986,1,34226,14.84619447,4,3876,4832159,0.080212592
1021,AL,1,7.649570663,11.88992674,287.4454119,0.137348438,0.137403368,65.15430714,0.046237808,0.993947869,1,38748,15.858875,4,3876,4832159,0.080212592
1023,AL,0,8.195676776,10.41929561,289.0024351,0.413664058,0.17567599,13.1541053,0.001775432,2.791556661,0,13094,16.75829159,5,3876,4832159,0.080212592
1025,AL,1,8.312522854,10.58968739,289.5414213,0.42309161,0.154920697,24.57662422,0.000936029,1.785805079,0,25548,16.9586111,5,3876,4832159,0.080212592
1027,AL,1,7.472260533,11.37618696,286.3918829,0.117521771,0.177267143,33.84274667,0.031908477,3.496473494,0,17429,15.43429162,4,3876,4832159,0.080212592
1029,AL,1,7.497122716,11.36288469,285.915958,0.015497326,0.156877304,36.1045425,0.007948921,1.738560036,1,14465,15.44639584,4,3876,4832159,0.080212592
1031,AL,0,8.237462586,10.91688031,289.7128747,0.098381738,0.149153547,87.203352,0.039848621,0.467303265,1,51841,17.04649994,5,3876,4832159,0.080212592
1033,AL,2,7.162348475,11.19923274,284.6816744,0.176008835,0.169744824,373.593806,0.026810067,0.766737658,1,52618,14.66291658,4,3876,4832159,0.080212592
1035,AL,0,8.236481443,10.375138,289.6330384,0.238173061,0.176041228,18.06242,0.007265345,0.778938036,0,12825,17.04089586,5,3876,4832159,0.080212592
1037,AL,1,7.589437128,11.84138509,287.4297734,0.194049864,0.165965018,20.7520044,0.001244004,0.369183922,1,12790,15.79333331,4,3876,4832159,0.080212592
1039,AL,1,8.293017473,10.46682837,290.1757077,0.266453141,0.185593492,100.7771844,0.02434082,1.721077538,1,37250,17.42133325,5,3876,4832159,0.080212592
1041,AL,0,8.173005268,10.81846112,289.2180197,0.179823885,0.168573473,21.13986857,0.01505599,1.490069482,1,15034,17.04649994,5,3876,4832159,0.080212592
1043,AL,0,7.254229721,11.6999031,285.4334134,0.007505729,0.158220039,115.0666591,0.028354811,0.87256238,1,78927,15.15095832,4,3876,4832159,0.080212592
1045,AL,0,8.272781767,10.87222193,289.8225486,0.140058994,0.136157553,85.01207286,0.04535627,0.130004142,1,43283,17.09195835,5,3876,4832159,0.080212592
